path,expected_sha256,actual_sha256,match
07_analysis/participant_metrics.csv,ee7737cc82ac8ea3bf013b0b35e5307098ed4769f4f1cd717958dee2995f2737,ee7737cc82ac8ea3bf013b0b35e5307098ed4769f4f1cd717958dee2995f2737,True
07_analysis/participant_selective.csv,0fc208ee47754c25f0ac2e6a409cdfd6e9326bbbc580b8f30a852a7e10eb90dd,0fc208ee47754c25f0ac2e6a409cdfd6e9326bbbc580b8f30a852a7e10eb90dd,True
07_analysis/participant_conformal.csv,3d1e15211bd9fa33ac11bc51e7ee48bfcad396ab38517972ba5a412cc5450f90,3d1e15211bd9fa33ac11bc51e7ee48bfcad396ab38517972ba5a412cc5450f90,True
07_analysis/participant_effects_by_seed.csv,ec432b1169381cdc0ad2eb971e46e2238228a30b399b8ada23f79934410f4b72,ec432b1169381cdc0ad2eb971e46e2238228a30b399b8ada23f79934410f4b72,True
07_analysis/participant_effects_seed_averaged.csv,98f6cdfba9bb87c40fccd2abe03fd46b845fc5fab7d8291683d7297218121ca6,98f6cdfba9bb87c40fccd2abe03fd46b845fc5fab7d8291683d7297218121ca6,True
07_analysis/seed_effects.csv,097eeca3f34b768113e91811c422ab6167cf54f299725f44ef7aadfed879849f,097eeca3f34b768113e91811c422ab6167cf54f299725f44ef7aadfed879849f,True
07_analysis/seed_effects_modelwise.csv,5655d155a6989995a7d7acdbb42d4354ab8334faca0cb656c0da9dd4aa3ffe0c,5655d155a6989995a7d7acdbb42d4354ab8334faca0cb656c0da9dd4aa3ffe0c,True
09_tables/table_conformal_summary.csv,a1bea7b8c567f1c0960c7785dcaff3e1c98780b9448680183fd77c7b6a405c7c,a1bea7b8c567f1c0960c7785dcaff3e1c98780b9448680183fd77c7b6a405c7c,True
09_tables/table_dataset_effects.csv,8effc5cc6d5a8ff552848ed24fbfe6eb3f1b93f2a0882259bffcd889e4cafa28,8effc5cc6d5a8ff552848ed24fbfe6eb3f1b93f2a0882259bffcd889e4cafa28,True
09_tables/table_expanded_estimands.csv,24b771329e6865c4276529f08e0ef8d58ed17b76ee40430f218a17afe79a027e,24b771329e6865c4276529f08e0ef8d58ed17b76ee40430f218a17afe79a027e,True
09_tables/table_model_summary.csv,27bc08ab1c23a0853fb4a3275af4629bc4d3ad4419893479a0ddd0ebc334035c,27bc08ab1c23a0853fb4a3275af4629bc4d3ad4419893479a0ddd0ebc334035c,True
09_tables/table_modelwise_effects.csv,773f0958e8419f67d820129e73daabdc9e18857a1f9c7276e875ed3a9e657343,773f0958e8419f67d820129e73daabdc9e18857a1f9c7276e875ed3a9e657343,True
09_tables/table_primary_estimands.csv,1926da2fefefd0e531ce2d43ab1408c3ed11852e9b4a1ce0f5d8b4da82f480d4,1926da2fefefd0e531ce2d43ab1408c3ed11852e9b4a1ce0f5d8b4da82f480d4,True
09_tables/table_seed_summary.csv,653d6e360c80c178dd68ee794845353a53bdd6326be8169c8c95ef1200a76e77,653d6e360c80c178dd68ee794845353a53bdd6326be8169c8c95ef1200a76e77,True
09_tables/table_selective_summary.csv,814a51a2447a504b2b6b00aa4ef78dbc00f963640d9d3d1d89701af42936381f,814a51a2447a504b2b6b00aa4ef78dbc00f963640d9d3d1d89701af42936381f,True
09_tables/table_temporal_overlap_supplement.csv,ca45926187fbea5684e4a60f145c3e73a4d2c310cbf347145f809108731ddca6,ca45926187fbea5684e4a60f145c3e73a4d2c310cbf347145f809108731ddca6,True
